Objects
100
,,Global Angle cup:cup,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
113,0,0.003737,-0.004457,-0.002871,-68.413239,9.156525,480.161224
114,0,0.003605,-0.004452,-0.002721,-68.417847,9.148834,480.157471
115,0,0.003662,-0.004439,-0.003001,-68.414024,9.150899,480.162018
116,0,0.003507,-0.004492,-0.002762,-68.417175,9.155609,480.167480
117,0,0.003720,-0.004433,-0.002884,-68.418053,9.160761,480.152252
118,0,0.003707,-0.004468,-0.002839,-68.417213,9.164657,480.150787
119,0,0.003618,-0.004421,-0.003009,-68.419006,9.150368,480.152405
120,0,0.003573,-0.004381,-0.002745,-68.416763,9.154346,480.154846
121,0,0.003703,-0.004481,-0.002906,-68.410469,9.164630,480.153046
122,0,0.003680,-0.004365,-0.002848,-68.411903,9.163466,480.154541
123,0,0.003615,-0.004523,-0.002771,-68.412323,9.152198,480.157654
124,0,0.003582,-0.004385,-0.002881,-68.422379,9.154687,480.148499
125,0,0.003578,-0.004519,-0.002897,-68.415451,9.152490,480.147003
126,0,0.003674,-0.004488,-0.003057,-68.416824,9.151065,480.153107
127,0,0.003561,-0.004447,-0.002974,-68.421661,9.145144,480.158020
128,0,0.003682,-0.004552,-0.002976,-68.417778,9.150361,480.156189
129,0,0.003621,-0.004517,-0.003051,-68.418068,9.148247,480.150085
130,0,0.003623,-0.004489,-0.002874,-68.412971,9.147690,480.158844
131,0,0.003619,-0.004456,-0.003065,-68.418594,9.151228,480.165436
132,0,0.003674,-0.004366,-0.003011,-68.427025,9.159572,480.166504
133,0,0.003669,-0.004413,-0.003179,-68.424522,9.151202,480.151917
134,0,0.003630,-0.004461,-0.002880,-68.415070,9.138455,480.151367
135,0,0.003661,-0.004500,-0.002973,-68.422668,9.149239,480.154236
136,0,0.003572,-0.004397,-0.003123,-68.422218,9.165664,480.160126
137,0,0.003632,-0.004472,-0.002982,-68.428299,9.157939,480.146881
138,0,0.003575,-0.004481,-0.002996,-68.417847,9.151711,480.139801
139,0,0.003539,-0.004369,-0.002687,-68.416885,9.152907,480.145691
140,0,0.003644,-0.004367,-0.002957,-68.416763,9.147558,480.171967
141,0,0.003668,-0.004412,-0.002967,-68.413811,9.148302,480.166901
142,0,0.003606,-0.004422,-0.002878,-68.421867,9.148950,480.163452
143,0,0.003573,-0.004413,-0.002925,-68.412979,9.143040,480.158112
144,0,0.003725,-0.004425,-0.002998,-68.416588,9.145415,480.163422
145,0,0.003595,-0.004493,-0.002878,-68.413216,9.150078,480.161957
146,0,0.003708,-0.004491,-0.003010,-68.418350,9.152127,480.163666
147,0,0.003648,-0.004484,-0.002910,-68.417694,9.150782,480.159546
148,0,0.003720,-0.004644,-0.003031,-68.415215,9.146132,480.156189
149,0,0.003615,-0.004475,-0.002923,-68.415421,9.154446,480.160278
150,0,0.003546,-0.004474,-0.002887,-68.405251,9.153614,480.171478
151,0,0.003642,-0.004436,-0.002743,-68.415497,9.163943,480.166443
152,0,0.003566,-0.004410,-0.002993,-68.415619,9.150409,480.159180
153,0,0.003684,-0.004475,-0.002938,-68.403275,9.145289,480.154755
154,0,0.003711,-0.004410,-0.002956,-68.412491,9.152034,480.164215
155,0,0.003732,-0.004542,-0.002930,-68.408554,9.163828,480.159271
156,0,0.003617,-0.004440,-0.002859,-68.418587,9.150383,480.161377
157,0,0.003501,-0.004451,-0.002764,-68.405998,9.134048,480.164459
158,0,0.003537,-0.004636,-0.002991,-68.401299,9.145177,480.162659
159,0,0.003629,-0.004511,-0.002865,-68.405663,9.158539,480.163910
